Date,IOD
2020-12-01,0.18
2021-01-01,0.26
2021-02-01,0.18
2021-03-01,0.1
2021-04-01,0.28
2021-05-01,-0.33
2021-06-01,-0.47
2021-07-01,-0.48
2021-08-01,-0.34
2021-09-01,-0.13
2021-10-01,-0.69
2021-11-01,-0.38
2021-12-01,-0.2
2022-01-01,-0.26
2022-02-01,-0.37
2022-03-01,-0.11
2022-04-01,-0.37
2022-05-01,-0.55
2022-06-01,-0.69
2022-07-01,-1.06
2022-08-01,-1.17
2022-09-01,-1.07
2022-10-01,-0.97
2022-11-01,-0.59
2022-12-01,-0.09
2023-01-01,0.09
2023-02-01,0.32
2023-03-01,0.37
2023-04-01,0.38
2023-05-01,0.02
2023-06-01,-0.08
2023-07-01,0.12
2023-08-01,0.71
2023-09-01,0.84
2023-10-01,1.44
2023-11-01,1.5
2023-12-01,1.2
2024-01-01,0.82
2024-02-01,0.3
2024-03-01,0.54
2024-04-01,0.33
2024-05-01,0.16
2024-06-01,-0.09
2024-07-01,-0.35
2024-08-01,0.26
2024-09-01,0.11
2024-10-01,-0.36
2024-11-01,-0.49
2024-12-01,-0.5
2025-01-01,-0.39
2025-02-01,0.0
2025-03-01,0.25
2025-04-01,0.2
2025-05-01,0.21
2025-06-01,-0.06
2025-07-01,-0.31
2025-08-01,-0.51
2025-09-01,-0.74
2025-10-01,-0.97
2025-11-01,-0.8
2025-12-01,-0.62
2026-01-01,-0.03
2026-02-01,0.29
2026-03-01,0.19
2026-04-01,0.33
2026-05-01,-0.39
2026-06-01,-0.58
